rally,ball_round,time,frame_num,roundscore_a,roundscore_b,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db,__match_name,__set_file,rally_winner,smash_success,landing_x_m,player_location_x_m,landing_y_m,player_location_y_m,distance_to_birdie_m,depth_m,width_m,to_center_m,to_back_m,depth_x_width,match_mode,in_court,in_court_flag
2,4.0,00:06:13,11219.0,1,1,B,3,點扣,1.0,,1.0,13.0,781.0,300.0,2.0,15.0,902.0,540.0,對手落地致勝,落地致勝,B,,9.0,746.0,309.0,8.0,705.0,551.0,0,An_Se_Young_Pornpawee_Chochuwong_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set1.csv,B,1,4.841155660377358,3.7189858490566032,8.872146118721462,1.8050228310502283,7.155661859575585,8.872146118721462,4.841155660377358,1.791155660377358,4.5278538812785385,15.891394740242953,singles,True,1
9,5.0,00:09:30,17116.0,4,5,B,3,殺球,,,1.0,5.0,502.0,327.0,2.0,15.0,936.0,579.0,出界,對手出界,A,,3.0,503.0,318.0,8.0,631.0,564.0,0,An_Se_Young_Pornpawee_Chochuwong_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set1.csv,A,0,5.0857311320754715,1.9709905660377356,10.065296803652968,2.080365296803653,8.57092410203217,10.065296803652968,5.0857311320754715,2.0357311320754716,3.334703196347032,20.490238056776082,singles,True,1
12,13.0,00:10:57,19727.0,6,6,B,3,點扣,1.0,,1.0,9.0,716.0,315.0,2.0,7.0,596.0,432.0,掛網,對手掛網,A,,8.0,663.0,327.0,8.0,637.0,527.0,0,An_Se_Young_Pornpawee_Chochuwong_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set1.csv,A,0,2.6399764150943392,3.1219339622641504,5.5680365296803656,2.3557077625570777,3.2482824977765965,5.5680365296803656,2.6399764150943392,0.4100235849056606,7.831963470319635,2.283026298785217,singles,True,1
23,22.0,00:18:17,32917.0,13,10,B,3,殺球,,,1.0,8.0,580.0,375.0,2.0,6.0,473.0,608.0,對手落地致勝,落地致勝,B,,8.0,554.0,375.0,8.0,695.0,586.0,0,An_Se_Young_Pornpawee_Chochuwong_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set1.csv,B,1,1.7551886792452829,2.3378537735849054,10.952511415525114,3.8242009132420094,7.1520842576916985,10.952511415525114,1.7551886792452829,1.294811320754717,2.447488584474886,14.181435771517188,singles,True,1
24,6.0,00:18:58,34145.0,14,10,A,3,殺球,1.0,,1.0,8.0,505.0,513.0,2.0,6.0,777.0,328.0,對手落地致勝,落地致勝,A,,8.0,674.0,510.0,8.0,713.0,386.0,0,An_Se_Young_Pornpawee_Chochuwong_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set1.csv,A,1,3.941981132075471,3.2010613207547167,2.3863013698630136,7.954337899543379,5.617116071674374,2.3863013698630136,3.941981132075471,0.8919811320754714,11.013698630136986,2.128535797363659,singles,True,1
26,4.0,00:19:51,35758.0,16,10,B,3,殺球,,,1.0,3.0,482.0,313.0,2.0,1.0,437.0,424.0,掛網,對手掛網,A,,3.0,486.0,316.0,8.0,581.0,574.0,0,An_Se_Young_Pornpawee_Chochuwong_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set1.csv,A,0,1.4962264150943394,1.848702830188679,5.323287671232877,2.0191780821917806,3.322857174118545,5.323287671232877,1.4962264150943394,1.5537735849056604,8.076712328767123,8.271183768415613,singles,True,1
29,3.0,00:21:17,38310.0,18,11,A,3,殺球,1.0,,1.0,8.0,560.0,588.0,2.0,5.0,464.0,341.0,對手落地致勝,落地致勝,A,,8.0,600.0,580.0,8.0,629.0,365.0,0,An_Se_Young_Pornpawee_Chochuwong_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set1.csv,A,1,1.690448113207547,2.6687499999999997,2.7840182648401828,10.095890410958905,7.377028457508381,2.7840182648401828,1.690448113207547,1.3595518867924528,10.615981735159817,3.785017284828121,singles,True,1
33,7.0,00:23:13,41807.0,20,13,A,3,殺球,,,1.0,5.0,866.0,608.0,2.0,11.0,851.0,345.0,出界,對手出界,B,,8.0,785.0,585.0,8.0,598.0,345.0,0,An_Se_Young_Pornpawee_Chochuwong_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set1.csv,B,0,4.474292452830189,3.999528301886792,2.906392694063927,10.248858447488585,7.357798878688853,2.906392694063927,4.474292452830189,1.4242924528301888,10.493607305936074,4.139553179116051,singles,True,1
5,4.0,00:29:10,52501.0,4,1,A,3,殺球,,,1.0,3.0,505.0,316.0,2.0,5.0,842.0,553.0,對手落地致勝,落地致勝,A,,9.0,538.0,314.0,8.0,633.0,535.0,0,An_Se_Young_Pornpawee_Chochuwong_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set2.csv,A,1,4.409551886792452,2.222759433962264,9.26986301369863,1.9579908675799087,7.631876277360756,9.26986301369863,4.409551886792452,1.3595518867924525,4.13013698630137,12.602859750581544,singles,True,1
6,14.0,00:29:41,53454.0,4,2,B,3,殺球,1.0,,1.0,4.0,455.0,641.0,2.0,6.0,835.0,366.0,對手落地致勝,落地致勝,B,,6.0,462.0,609.0,8.0,596.0,361.0,0,An_Se_Young_Pornpawee_Chochuwong_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set2.csv,B,1,4.359198113207547,1.6760613207547168,3.5488584474885845,10.983105022831051,7.9036222828526705,3.5488584474885845,4.359198113207547,1.3091981132075468,9.851141552511416,4.6461587834927185,singles,True,1
