rally,ball_round,time,frame_num,roundscore_a,roundscore_b,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db,__match_name,__set_file,is_smash,smash_success,distance_to_birdie
2,4.0,00:06:13,11219.0,1,1,B,3,點扣,1.0,,1.0,13.0,781.0,300.0,2.0,15.0,902.0,540.0,對手落地致勝,落地致勝,B,,9.0,746.0,309.0,8.0,705.0,551.0,0,An_Se_Young_Pornpawee_Chochuwong_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set1.csv,True,1,278.7418160233588
9,5.0,00:09:30,17116.0,4,5,B,3,殺球,,,1.0,5.0,502.0,327.0,2.0,15.0,936.0,579.0,出界,對手出界,A,,3.0,503.0,318.0,8.0,631.0,564.0,0,An_Se_Young_Pornpawee_Chochuwong_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set1.csv,True,0,505.5788761410033
12,13.0,00:10:57,19727.0,6,6,B,3,點扣,1.0,,1.0,9.0,716.0,315.0,2.0,7.0,596.0,432.0,掛網,對手掛網,A,,8.0,663.0,327.0,8.0,637.0,527.0,0,An_Se_Young_Pornpawee_Chochuwong_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set1.csv,True,0,124.55520864259351
23,22.0,00:18:17,32917.0,13,10,B,3,殺球,,,1.0,8.0,580.0,375.0,2.0,6.0,473.0,608.0,對手落地致勝,落地致勝,B,,8.0,554.0,375.0,8.0,695.0,586.0,0,An_Se_Young_Pornpawee_Chochuwong_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set1.csv,True,1,246.6779276708802
24,6.0,00:18:58,34145.0,14,10,A,3,殺球,1.0,,1.0,8.0,505.0,513.0,2.0,6.0,777.0,328.0,對手落地致勝,落地致勝,A,,8.0,674.0,510.0,8.0,713.0,386.0,0,An_Se_Young_Pornpawee_Chochuwong_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set1.csv,True,1,209.124364912365
26,4.0,00:19:51,35758.0,16,10,B,3,殺球,,,1.0,3.0,482.0,313.0,2.0,1.0,437.0,424.0,掛網,對手掛網,A,,3.0,486.0,316.0,8.0,581.0,574.0,0,An_Se_Young_Pornpawee_Chochuwong_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set1.csv,True,0,118.59595271340417
29,3.0,00:21:17,38310.0,18,11,A,3,殺球,1.0,,1.0,8.0,560.0,588.0,2.0,5.0,464.0,341.0,對手落地致勝,落地致勝,A,,8.0,600.0,580.0,8.0,629.0,365.0,0,An_Se_Young_Pornpawee_Chochuwong_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set1.csv,True,1,274.98545416076104
33,7.0,00:23:13,41807.0,20,13,A,3,殺球,,,1.0,5.0,866.0,608.0,2.0,11.0,851.0,345.0,出界,對手出界,B,,8.0,785.0,585.0,8.0,598.0,345.0,0,An_Se_Young_Pornpawee_Chochuwong_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set1.csv,True,0,248.90962215229848
5,4.0,00:29:10,52501.0,4,1,A,3,殺球,,,1.0,3.0,505.0,316.0,2.0,5.0,842.0,553.0,對手落地致勝,落地致勝,A,,9.0,538.0,314.0,8.0,633.0,535.0,0,An_Se_Young_Pornpawee_Chochuwong_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set2.csv,True,1,386.700142229092
6,14.0,00:29:41,53454.0,4,2,B,3,殺球,1.0,,1.0,4.0,455.0,641.0,2.0,6.0,835.0,366.0,對手落地致勝,落地致勝,B,,6.0,462.0,609.0,8.0,596.0,361.0,0,An_Se_Young_Pornpawee_Chochuwong_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set2.csv,True,1,445.1718769194658
8,16.0,00:30:36,55098.0,5,3,A,3,殺球,1.0,,1.0,4.0,762.0,312.0,2.0,6.0,411.0,547.0,對手落地致勝,落地致勝,A,,8.0,705.0,324.0,8.0,662.0,536.0,0,An_Se_Young_Pornpawee_Chochuwong_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set2.csv,True,1,369.00542001439493
22,8.0,00:39:04,70320.0,13,9,B,3,殺球,,,1.0,5.0,880.0,552.0,2.0,6.0,758.0,336.0,對手落地致勝,落地致勝,B,,5.0,885.0,548.0,8.0,686.0,331.0,0,An_Se_Young_Pornpawee_Chochuwong_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set2.csv,True,1,247.12952069714376
29,9.0,00:43:37,78514.0,17,12,A,3,殺球,,,1.0,8.0,579.0,326.0,2.0,6.0,402.0,561.0,對手落地致勝,落地致勝,A,,8.0,612.0,335.0,8.0,679.0,541.0,0,An_Se_Young_Pornpawee_Chochuwong_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set2.csv,True,1,308.50607773591753
37,7.0,00:48:52,87988.0,20,17,B,3,殺球,,,1.0,8.0,537.0,609.0,2.0,5.0,447.0,328.0,對手落地致勝,落地致勝,B,,8.0,534.0,599.0,8.0,619.0,357.0,0,An_Se_Young_Pornpawee_Chochuwong_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set2.csv,True,1,284.6225570821821
3,6.0,00:08:09,14690.0,1,2,B,3,殺球,,,1.0,9.0,564.0,629.0,2.0,6.0,833.0,364.0,對手落地致勝,落地致勝,B,,9.0,560.0,617.0,8.0,610.0,355.0,0,An_Se_Young_Ratchanok_Intanon_YONEX_Thailand_Open_2021_QuarterFinals,set1.csv,True,1,372.2069316925734
4,2.0,00:08:28,15241.0,1,3,A,3,殺球,,,1.0,,,,2.0,7.0,735.0,411.0,掛網,對手掛網,B,,9.0,597.0,311.0,8.0,651.0,543.0,0,An_Se_Young_Ratchanok_Intanon_YONEX_Thailand_Open_2021_QuarterFinals,set1.csv,True,0,170.42300314218147
7,7.0,00:09:43,17519.0,1,6,B,3,殺球,,,1.0,5.0,824.0,572.0,2.0,5.0,463.0,368.0,對手落地致勝,落地致勝,B,,8.0,770.0,561.0,8.0,632.0,350.0,0,An_Se_Young_Ratchanok_Intanon_YONEX_Thailand_Open_2021_QuarterFinals,set1.csv,True,1,362.62652964172383
